
Item                          Name                               Vehicle
PinkSlip.92crownvic           92 Crown Victoria                  Base.92crownvic
PinkSlip.92crownvicPD         92 Crown Victoria                  Base.92crownvicPD
PinkSlip.92wrangler           92 Jeep Wrangler                   Base.92wrangler
PinkSlip.92wrangleroffroad    92 Jeep Wrangler                   Base.92wrangleroffroad
PinkSlip.92wranglerjurassic   92 Jeep Wrangler  JP Ed            Base.92wranglerjurassic
PinkSlip.92wranglerranger     92 Jeep Wrangler                   Base.92wranglerranger
PinkSlip.93explorer           93 Ford Explorer                   Base.93explorer
PinkSlip.93explorerjurassic   93 Ford Explorer JP Ed             Base.93explorerjurassic
PinkSlip.chevystepvan         Chevrolet Step Van                 Base.chevystepvan
PinkSlip.chevystepvanswat     Chevrolet SWAT Van                 Base.chevystepvanswat
PinkSlip.f700propane          Ford F700 Propane                  Base.f700propane
PinkSlip.tractorford7810      Ford 7810                          Base.tractorford7810
PinkSlip.64mustang            64 Ford Mustang                    Base.64mustang
PinkSlip.71chevyc10stepside   Chevrolet C10 step                 Base.71chevyc10stepside
PinkSlip.71chevyc10lb         71 Chevrolet C10 lb                Base.71chevyc10lb
PinkSlip.71chevyc10sb         71 Chevrolet C10 sb                Base.71chevyc10sb
PinkSlip.91chevys10           91 Chevrolet S10                   Base.91chevys10
PinkSlip.91chevys10ext        91 Chevrolet S10                   Base.91chevys10ext
PinkSlip.91chevys10offroad    91 Chevrolet S10 Off               Base.91chevys10offroad
PinkSlip.91chevys10offroadext 91 Chevrolet S10 Off Ext           Base.91chevys10offroadext
PinkSlip.93jeepcherokee       93 Jeep Cherokee                   Base.93jeepcherokee
PinkSlip.Trailer51chevy       Chevrolet Bed                      Base.Trailer51chevy
PinkSlip.Trailermovingbig     Move Urself 7x16                   Base.Trailermovingbig
PinkSlip.Trailermovingmedium  Move Urself 5x8                    Base.Trailermovingmedium
PinkSlip.Trailerfuelmedium    Fuel Trailer                       Base.Trailerfuelmedium
PinkSlip.Trailerfuelsmall     Fuel Trailer (Small)               Base.Trailerfuelsmall
PinkSlip.Trailercamperscamp   Camper Trailer                     Base.Trailercamperscamp


